INPUT-#Scan#	INPUT-SpectrumID	INPUT-Compound_Name	INPUT-InChIKey-Planar	Tag_Status1	Action1	Add_InCHIKey-Planar	Cannot_Add_InChIKey-Planar	Tag_Status2	Action2	Add_Tag1	Add_Tag2	Add_Tag3	Contribute-NCBITaxonomy1	Contribute-NCBITaxonomy2	Contribute-NCBITaxonomy3	Contribute-UBERONTag1	Contribute-UBERONTag2	Contribute-UBERONTag3	Contribute-LifestyleTag1	Contribute-LifestyleTag2	Contribute-LifestyleTag3	Current_Tags	Current_NCBITaxonomy	Current_UBERON	Current_Lifestyle
62625	CCMSLIB00005724601	1-methyl-4-(6-methylhept-5-en-2-yl)-2,3-dioxabicyclo[2.2.2]oct-5-ene	LQQPBZXRTDBTDG	Tags Missing	Add Tags																				
626625	CCMSLIB00005465702	"(R)-4-((3R,5R,6R,7R,8R,9S,10R,12S,13R,14S,17R)-3,6,7,12-tetrahydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid"	COCMFMBNEAMQMA	Tags Present	Check Current Tags and Add if Incomplete																	food|human	9606|Homo sapiens		food consumption
62665	CCMSLIB00005724601	1-methyl-4-(6-methylhept-5-en-2-yl)-2,3-dioxabicyclo[2.2.2]oct-5-ene	LQQPBZXRTDBTDG	Tags Missing	Add Tags																				
626928	CCMSLIB00005465512	"(4R)-4-((3R,5S,6S,7R,8R,9S,10R,12S,13R,17R)-3,6,7,12-tetrahydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid"	COCMFMBNEAMQMA	Tags Present	Check Current Tags and Add if Incomplete																	food|human	9606|Homo sapiens		food consumption
627589	CCMSLIB00005464979	"methyl (4R)-4-((3R,5S,7S,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoate"	GRQROVWZGGDYSW	Tags Present	Check Current Tags and Add if Incomplete																	bacterial|bacterial_modified|naturalproduct			
62821	CCMSLIB00005724601	1-methyl-4-(6-methylhept-5-en-2-yl)-2,3-dioxabicyclo[2.2.2]oct-5-ene	LQQPBZXRTDBTDG	Tags Missing	Add Tags																				
62828	CCMSLIB00005724601	1-methyl-4-(6-methylhept-5-en-2-yl)-2,3-dioxabicyclo[2.2.2]oct-5-ene	LQQPBZXRTDBTDG	Tags Missing	Add Tags																				
630287	CCMSLIB00004697310	3-O-Feruloylquinic acid	RAGZUCNPTLULOL	Tags Present	Check Current Tags and Add if Incomplete																	food|plant|naturalproduct			food consumption
630493	CCMSLIB00005465622	"(4R)-4-((3R,5R,6S,7R,9S,10R,13R,14S,17R)-3,6,7-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid"	DKPMWHFRUGMUKF	Tags Present	Check Current Tags and Add if Incomplete																	bacterial|bacterial_modified|food|human|naturalproduct	9606|Homo sapiens	blood|cerebrospinal fluid|feces|saliva|urine	|food consumption
630498	CCMSLIB00005465129	"(4R)-4-((3R,5R,6R,9S,10R,12S,13R,14S,17R)-3,6,12-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid"	GCAHOAMXTYBLNZ	Tags Present	Check Current Tags and Add if Incomplete																	naturalproduct			
630527	CCMSLIB00003135123	Spectral Match to 12-Ketodeoxycholic acid from NIST14	CVNYHSDFZXHMMJ	Tags Present	Check Current Tags and Add if Incomplete																	bacterial|bacterial_modified|naturalproduct		blood|urine	
630536	CCMSLIB00005464715	"(4R)-4-((3S,5R,9S,10S,13R,14S,17R)-3-hydroxy-10,13-dimethyl-12-oxohexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid"	CVNYHSDFZXHMMJ	Tags Present	Check Current Tags and Add if Incomplete																	bacterial|bacterial_modified|naturalproduct		blood|urine	
631054	CCMSLIB00005464715	"(4R)-4-((3S,5R,9S,10S,13R,14S,17R)-3-hydroxy-10,13-dimethyl-12-oxohexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid"	CVNYHSDFZXHMMJ	Tags Present	Check Current Tags and Add if Incomplete																	bacterial|bacterial_modified|naturalproduct		blood|urine	
631148	CCMSLIB00005465544	"(R)-4-((3R,5R,6R,7S,8S,9S,10R,13R,14S,17R)-3,6,7-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid"	DKPMWHFRUGMUKF	Tags Present	Check Current Tags and Add if Incomplete																	bacterial|bacterial_modified|food|human|naturalproduct	9606|Homo sapiens	blood|cerebrospinal fluid|feces|saliva|urine	|food consumption
631312	CCMSLIB00003135123	Spectral Match to 12-Ketodeoxycholic acid from NIST14	CVNYHSDFZXHMMJ	Tags Present	Check Current Tags and Add if Incomplete																	bacterial|bacterial_modified|naturalproduct		blood|urine	
631544	CCMSLIB00003139631	Spectral Match to Dioctyl phthalate from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
63797	CCMSLIB00005464309	"N,N-DIMETHYL-ARGININE"	YDGMGEXADBMOMJ	Tags Present	Check Current Tags and Add if Incomplete																	naturalproduct			
638153	CCMSLIB00003140059	Spectral Match to Glu-Val-Phe from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
63951	CCMSLIB00005464388	SPERMINE	PFNFFQXMRSDOHW	Tags Present	Check Current Tags and Add if Incomplete																	animal|plant|bacterial|food|human			food consumption
64046	CCMSLIB00005464432	TRYPTOPHAN	QIVBCDIJIAJPQS	Tags Present	Check Current Tags and Add if Incomplete																	bacterialfood|plant_angiospermae|naturalproduct_plant|plant|drug|marine_diatom|dissolvedorganicmatter_water_saline|microalgal|naturalproduct	10088|Mus:1816324|Niedenzuella multiglandulosa:1027070|Banisteriopsis laevifolia:151857|Mcvaughia bahiana:41953|Pseudo-nitzschia	blood|cerebrospinal fluid|feces|milk|saliva|sweat|urine	|food consumption|drug or medication use
64159	CCMSLIB00005725033	1-methyl-4-methylidene-7-(propan-2-yl)-1,2,3,3a,4,5,6,8a-octahydroazulen-1-ol	BUPJOLXWQXEJSQ	Tags Missing	Add Tags																				
64287	CCMSLIB00003135694	Spectral Match to Bolasterone from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
64373	CCMSLIB00003135694	Spectral Match to Bolasterone from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
64388	CCMSLIB00005725033	1-methyl-4-methylidene-7-(propan-2-yl)-1,2,3,3a,4,5,6,8a-octahydroazulen-1-ol	BUPJOLXWQXEJSQ	Tags Missing	Add Tags																				
64579	CCMSLIB00003140168	Spectral Match to Acetyl-DL-carnitine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
64905	CCMSLIB00000841968	MassbankEU:SM866001 4-Aminoantipyrine|4-amino-1,5-dimethyl-2-phenylpyrazol-3-one	RLFWWDJHLFCNIJ	Tags Present	Check Current Tags and Add if Incomplete																	naturalproduct			
64911	CCMSLIB00000221276	Massbank:KO009087 O-Acetylcarnitine|O-Acetyl-L-carnitine	RDHQFKQIGNGIED	Tags Present	Check Current Tags and Add if Incomplete																	food			food consumption
64915	CCMSLIB00003135237	Spectral Match to Acetyl-DL-carnitine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
64917	CCMSLIB00005464316	O-ACETYLCARNITINE	RDHQFKQIGNGIED	Tags Present	Check Current Tags and Add if Incomplete																	food			food consumption
64927	CCMSLIB00000221276	Massbank:KO009087 O-Acetylcarnitine|O-Acetyl-L-carnitine	RDHQFKQIGNGIED	Tags Present	Check Current Tags and Add if Incomplete																	food			food consumption
64993	CCMSLIB00003136911	Spectral Match to Acetyl-DL-carnitine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
65083	CCMSLIB00000220666	Massbank:KO004073 Trp|Tryptophan|L-Tryptophan|(S)-alpha-Amino-beta-(3-indolyl)-propionic acid	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
651711	CCMSLIB00003140225	Spectral Match to Tris(2-butoxyethyl) phosphate from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
652201	CCMSLIB00003140225	Spectral Match to Tris(2-butoxyethyl) phosphate from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
652203	CCMSLIB00005760641	Massbank:LU061002 Tris(2-butoxyethyl) phosphate	WTLBZVNBAKMVDP	Tags Present	Check Current Tags and Add if Incomplete																	synthetic|MS_contaminant|water_waste|environmental		|saliva	products containing flame retardant
652240	CCMSLIB00003137951	Spectral Match to Tris(2-butoxyethyl) phosphate from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
652610	CCMSLIB00003140225	Spectral Match to Tris(2-butoxyethyl) phosphate from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
654017	CCMSLIB00000213160	Massbank:FFF00046 24-Ethylepicoprostanol	LGJMUZUPVCAVPU	Tags Present	Check Current Tags and Add if Incomplete																	naturalproduct			
656473	CCMSLIB00004719809	Palmitoylcarnitine	XOMRRQXKHMYMOC	Tags Present	Check Current Tags and Add if Incomplete																	human|food	9606|Homo sapiens	blood|feces|saliva|urine	|food consumption
659797	CCMSLIB00004704847	7-Oxocholesterol	YIKKMWSQVKJCOP	Tags Present	Check Current Tags and Add if Incomplete																	naturalproduct			
66278	CCMSLIB00000220666	Massbank:KO004073 Trp|Tryptophan|L-Tryptophan|(S)-alpha-Amino-beta-(3-indolyl)-propionic acid	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
662789	CCMSLIB00005761599	Massbank:LU052303 Acetyl tributyl citrate|tributyl 2-acetyloxypropane-1,2,3-tricarboxylate	QZCLKYGREBVARF	Tags Missing	Add Tags																				
66279	CCMSLIB00000221707	Massbank:PB000416 Tryptophan|2-amino-3-(1H-indol-3-yl)propanoic acid	QIVBCDIJIAJPQS	Tags Present	Check Current Tags and Add if Incomplete																	bacterialfood|plant_angiospermae|naturalproduct_plant|plant|drug|marine_diatom|dissolvedorganicmatter_water_saline|microalgal|naturalproduct	10088|Mus:1816324|Niedenzuella multiglandulosa:1027070|Banisteriopsis laevifolia:151857|Mcvaughia bahiana:41953|Pseudo-nitzschia	blood|cerebrospinal fluid|feces|milk|saliva|sweat|urine	|food consumption|drug or medication use
66284	CCMSLIB00000220666	Massbank:KO004073 Trp|Tryptophan|L-Tryptophan|(S)-alpha-Amino-beta-(3-indolyl)-propionic acid	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
663171	CCMSLIB00005464695	"methyl (4R)-4-((5R,8S,9S,10R,13R,17R)-10,13-dimethyl-3,6-dioxohexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoate"	DSADZYPPAGRNLW	Tags Missing	Add Tags																				
66331	CCMSLIB00004694539	TRYPTOPHAN	QIVBCDIJIAJPQS	Tags Present	Check Current Tags and Add if Incomplete																	bacterialfood|plant_angiospermae|naturalproduct_plant|plant|drug|marine_diatom|dissolvedorganicmatter_water_saline|microalgal|naturalproduct	10088|Mus:1816324|Niedenzuella multiglandulosa:1027070|Banisteriopsis laevifolia:151857|Mcvaughia bahiana:41953|Pseudo-nitzschia	blood|cerebrospinal fluid|feces|milk|saliva|sweat|urine	|food consumption|drug or medication use
66351	CCMSLIB00005716772	L-Tryptophan	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
66357	CCMSLIB00000220669	Massbank:KO004074 Trp|Tryptophan|L-Tryptophan|(S)-alpha-Amino-beta-(3-indolyl)-propionic acid	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
66358	CCMSLIB00000220669	Massbank:KO004074 Trp|Tryptophan|L-Tryptophan|(S)-alpha-Amino-beta-(3-indolyl)-propionic acid	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
66362	CCMSLIB00000221707	Massbank:PB000416 Tryptophan|2-amino-3-(1H-indol-3-yl)propanoic acid	QIVBCDIJIAJPQS	Tags Present	Check Current Tags and Add if Incomplete																	bacterialfood|plant_angiospermae|naturalproduct_plant|plant|drug|marine_diatom|dissolvedorganicmatter_water_saline|microalgal|naturalproduct	10088|Mus:1816324|Niedenzuella multiglandulosa:1027070|Banisteriopsis laevifolia:151857|Mcvaughia bahiana:41953|Pseudo-nitzschia	blood|cerebrospinal fluid|feces|milk|saliva|sweat|urine	|food consumption|drug or medication use
667854	CCMSLIB00005464807	"(R)-4-((3R,5S,8R,9S,10S,13R,14S,17R)-3-hydroxy-10,13-dimethyl-7,12-dioxohexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid"	MAFJMPFLJJCSTB	Tags Present	Check Current Tags and Add if Incomplete																	naturalproduct			
667942	CCMSLIB00005465832	"methyl (R)-4-((3R,5S,7R,8R,9S,10S,13R,14S,15S,17R)-3,7,15-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoate"	GNGSNCPQCZJNBI	Tags Missing	Add Tags																				
673371	CCMSLIB00005464677	"(4R)-4-((3R,5R,6S,7R,9S,10R,12S,13R,14S,17R)-3,6,7,12-tetrahydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid"	COCMFMBNEAMQMA	Tags Present	Check Current Tags and Add if Incomplete																	food|human	9606|Homo sapiens		food consumption
673383	CCMSLIB00005464677	"(4R)-4-((3R,5R,6S,7R,9S,10R,12S,13R,14S,17R)-3,6,7,12-tetrahydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid"	COCMFMBNEAMQMA	Tags Present	Check Current Tags and Add if Incomplete																	food|human	9606|Homo sapiens		food consumption
673386	CCMSLIB00005465782	"(R)-4-((1R,3S,5S,7R,8S,9S,10S,12S,13R,14S,17R)-1,3,7,12-tetrahydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid"	UYVVLXVBEQAATF	Tags Present	Check Current Tags and Add if Incomplete																	food|human	9606|Homo sapiens		food consumption
673723	CCMSLIB00005464677	"(4R)-4-((3R,5R,6S,7R,9S,10R,12S,13R,14S,17R)-3,6,7,12-tetrahydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid"	COCMFMBNEAMQMA	Tags Present	Check Current Tags and Add if Incomplete																	food|human	9606|Homo sapiens		food consumption
673790	CCMSLIB00005465782	"(R)-4-((1R,3S,5S,7R,8S,9S,10S,12S,13R,14S,17R)-1,3,7,12-tetrahydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid"	UYVVLXVBEQAATF	Tags Present	Check Current Tags and Add if Incomplete																	food|human	9606|Homo sapiens		food consumption
675729	CCMSLIB00004694472	DIGOXIGENIN	SHIBSTMRCDJXLN	Tags Present	Check Current Tags and Add if Incomplete																	food|drug|naturalproduct		blood|urine	|drug or medication use|food consumption
678095	CCMSLIB00005738092	Massbank:RP026703 5?-CHOLANIC ACID-3?_ 6?_7?-TRIOL|Hyocholic acid|(4R)-4-[(3R,5R,6R,7S,8S,9S,10R,13R,14S,17R)-3,6,7-trihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren	DKPMWHFRUGMUKF	Tags Present	Check Current Tags and Add if Incomplete																	bacterial|bacterial_modified|food|human|naturalproduct	9606|Homo sapiens	blood|cerebrospinal fluid|feces|saliva|urine	|food consumption
679499	CCMSLIB00004704935	CHOLIC ACID	BHQCQFFYRZLCQQ	Tags Present	Check Current Tags and Add if Incomplete																	dissolvedorganicmatter_water_salinedrug|food|naturalproduct		bile|blood|feces|saliva|urine|liver	|food consumption|drug or medication use
68357	CCMSLIB00003135526	Spectral Match to DL-Indole-3-lactic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
68366	CCMSLIB00003135526	Spectral Match to DL-Indole-3-lactic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
68407	CCMSLIB00003135520	Spectral Match to Dexpanthenol from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
686921	CCMSLIB00000223166	Massbank:PR100341 1-Decanoyl-2-hydroxy-sn-glycero-3-phosphocholine|10:0 LysoPC|1-decanoyl-sn-glycero-3-phosphocholine|1-Capryl-2-lysophosphatidylcholine|1-Decanoyllysolecithin|Phosphocholine,1-Decanoyl-2-Hydroxy-sn-Gly	SECPDKKEUKDCPG	Tags Present	Check Current Tags and Add if Incomplete																	food|human	9606|Homo sapiens		food consumption
693588	CCMSLIB00005435519	glycodeoxycholic acid	WVULKSPCQVQLCU	Tags Present	Check Current Tags and Add if Incomplete																	bacterial|bacterial_modified|food|human|naturalproduct	9606|Homo sapiens	bile|blood|feces|urine	|food consumption
693623	CCMSLIB00005435519	glycodeoxycholic acid	WVULKSPCQVQLCU	Tags Present	Check Current Tags and Add if Incomplete																	bacterial|bacterial_modified|food|human|naturalproduct	9606|Homo sapiens	bile|blood|feces|urine	|food consumption
693627	CCMSLIB00005435519	glycodeoxycholic acid	WVULKSPCQVQLCU	Tags Present	Check Current Tags and Add if Incomplete																	bacterial|bacterial_modified|food|human|naturalproduct	9606|Homo sapiens	bile|blood|feces|urine	|food consumption
693733	CCMSLIB00005435537	glycoursodeoxycholic acid	GHCZAUBVMUEKKP	Tags Present	Check Current Tags and Add if Incomplete																	bacterial|bacterial_modified|drug|naturalproduct		bile|blood|feces|urine	|drug or medication use
693984	CCMSLIB00005435519	glycodeoxycholic acid	WVULKSPCQVQLCU	Tags Present	Check Current Tags and Add if Incomplete																	bacterial|bacterial_modified|food|human|naturalproduct	9606|Homo sapiens	bile|blood|feces|urine	|food consumption
694569	CCMSLIB00003135822	Spectral Match to Nonaethylene glycol from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
695503	CCMSLIB00005463896	DEOXYCHOLATE	KXGVEGMKQFWNSR	Tags Present	Check Current Tags and Add if Incomplete																	bacterial|bacterial_modified|human_modified|naturalproduct		bile|blood|feces|urine	
695514	CCMSLIB00004696778	[2,3-dihydroxy-1-(7-methoxy-2-oxochromen-6-yl)-3-methylbutyl] (Z)-2-methylbut-2-enoate	BAHUBXAYVOCLNA	Tags Present	Check Current Tags and Add if Incomplete																	naturalproduct			
696503	CCMSLIB00003136412	Spectral Match to Nonaethylene glycol from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
697096	CCMSLIB00003136412	Spectral Match to Nonaethylene glycol from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
70527	CCMSLIB00005724056	23	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
70820	CCMSLIB00005724056	23	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
70821	CCMSLIB00005724056	23	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
70938	CCMSLIB00005724056	23	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
709998	CCMSLIB00003139119	Spectral Match to Tris(2-butoxyethyl) phosphate from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
710002	CCMSLIB00003139119	Spectral Match to Tris(2-butoxyethyl) phosphate from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
710007	CCMSLIB00003134572	Spectral Match to Tris(2-butoxyethyl) phosphate from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
71007	CCMSLIB00005464448	N-ACETYLPHENYLALANINE	CBQJSKKFNMDLON	Tags Present	Check Current Tags and Add if Incomplete																	food|human|culture_fungal|fungal|fungal_produced|naturalproduct	9606|Homo sapiens		food consumption
71015	CCMSLIB00003138301	Spectral Match to (3-Phenylpropionyl)glycine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
71146	CCMSLIB00005724056	23	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
714350	CCMSLIB00005788066	Glochidone	FWBYBHVDDGVPDF	Tags Missing	Add Tags																				
716220	CCMSLIB00005788066	Glochidone	FWBYBHVDDGVPDF	Tags Missing	Add Tags																				
716247	CCMSLIB00005788066	Glochidone	FWBYBHVDDGVPDF	Tags Missing	Add Tags																				
716256	CCMSLIB00005788066	Glochidone	FWBYBHVDDGVPDF	Tags Missing	Add Tags																				
71729	CCMSLIB00004691219	L-kynurenine	YGPSJZOEDVAXAB	Tags Present	Check Current Tags and Add if Incomplete																	animal|bacterial|human|food|plant		blood|cerebrospinal fluid|feces|urine	food consumption
723403	CCMSLIB00003138156	Spectral Match to 1-Myristoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
723442	CCMSLIB00003137151	Spectral Match to Cholic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
723531	CCMSLIB00003137151	Spectral Match to Cholic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
723752	CCMSLIB00005738727	Massbank:RP025103 Oleoyl-L-Carnitine|(3R)-3-[(Z)-octadec-9-enoyl]oxy-4-(trimethylazaniumyl)butanoate	IPOLTUVFXFHAHI	Tags Present	Check Current Tags and Add if Incomplete																	food		blood|feces	|food consumption
728866	CCMSLIB00000479576	Adenosine 5_-diphosphate	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
729609	CCMSLIB00005738399	Massbank:RP029913 N-Oleoyl-Phenylalanine|N-oleoyl phenylalanine|(2S)-2-[[(Z)-octadec-9-enoyl]amino]-3-phenylpropanoic acid	UWKNPULCJWBBDD	Tags Missing	Add Tags																				
734883	CCMSLIB00005464594	GLYCOCHOLATE	RFDAIACWWDREDC	Tags Present	Check Current Tags and Add if Incomplete																	human|bacterial_modified|human_modified|food|MS_internal_standard|naturalproduct	9606|Homo sapiens	blood|feces|urine	|food consumption
735829	CCMSLIB00005738486	Massbank:RP029903 N-Oleoyl-Phenylalanine|N-oleoyl phenylalanine|(2S)-2-[[(Z)-octadec-9-enoyl]amino]-3-phenylpropanoic acid	UWKNPULCJWBBDD	Tags Missing	Add Tags																				
73600	CCMSLIB00003134727	Spectral Match to Myristoleic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
73602	CCMSLIB00003134727	Spectral Match to Myristoleic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
73624	CCMSLIB00003134806	Spectral Match to 2,4,7,9-Tetramethyl-5-decyne-4,7-diol from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
73637	CCMSLIB00003135956	Spectral Match to 2,4,7,9-Tetramethyl-5-decyne-4,7-diol from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
73648	CCMSLIB00003134806	Spectral Match to 2,4,7,9-Tetramethyl-5-decyne-4,7-diol from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
736582	CCMSLIB00005465403	"(4R)-4-((3R,5S,7R,9S,10S,13R,14R,17R)-3,7,14-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid"	OGSDYCPNYNWUNN	Tags Missing	Add Tags																				
73661	CCMSLIB00003134806	Spectral Match to 2,4,7,9-Tetramethyl-5-decyne-4,7-diol from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
73663	CCMSLIB00003134806	Spectral Match to 2,4,7,9-Tetramethyl-5-decyne-4,7-diol from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
736883	CCMSLIB00005465846	"(6R)-2-(hydroxymethyl)-6-((3R,5R,7R,8R,9S,10S,12S,13R,14S,17R)-3,7,12-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)heptanoic acid"	WJAIFDIPOPXOPB	Tags Missing	Add Tags																				
740258	CCMSLIB00005464545	GLYCOCHENODEOXYCHOLATE	GHCZAUBVMUEKKP	Tags Present	Check Current Tags and Add if Incomplete																	bacterial|bacterial_modified|drug|naturalproduct		bile|blood|feces|urine	|drug or medication use
743107	CCMSLIB00003135961	Spectral Match to 1-Decanoyl-2-hydroxy-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
744988	CCMSLIB00003137366	Spectral Match to 1-Oleoyl-L-.alpha.-lysophosphatidic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
748850	CCMSLIB00004695483	gamma-sitosterol	KZJWDPNRJALLNS	Tags Present	Check Current Tags and Add if Incomplete																	food|drug|plant|naturalproduct_plant|naturalproduct		blood|cerebrospinal fluid|feces|urine	|food consumption|drug or medication use
753773	CCMSLIB00005743747	Massbank:PR311082 Dicoumaroyl Spermidine	QYBCBMVQSCJMSA	Tags Present	Check Current Tags and Add if Incomplete																	food|human|naturalproduct	9606|Homo sapiens		food consumption
754522	CCMSLIB00004684235	TOP 8 Psoriasis feature - Unknown FeatureID=4262	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
